,Composition,delta_S,d_param,price,FT,density,hardness,uts1200C
0,Hf0.18Ta0.23Ti0.29Nb0.02V0.05W0.24,-1.57620775255047,3.0212553,263.94752475247526,12.0238401347752,12.357404082770216,5.2209287,0.6137805000000001
1,Hf0.41Ta0.13Nb0.3V0.15,-1.2765437756454665,3.3542862,497.9696969696969,7.55527722712509,11.130573291566236,5.6366806,0.7092064
2,Hf0.11Zr0.11Nb0.2V0.09Cr0.3W0.19,-1.7009339387611218,1.7624123,164.378,13.438004609362554,10.22280656146872,7.241336299999999,0.32855964
3,Nb0.36V0.22Cr0.07Mo0.36,-1.2548452019868717,2.070033,129.31683168316837,12.847716667072016,8.440786944075496,6.142604,0.79685605
4,Hf0.16Zr0.5V0.14W0.2,-1.236930006858719,3.031137,223.51,9.457498218716802,9.98668588684259,4.9266033,0.21346712
5,Hf0.22Zr0.12Nb0.24V0.28Mo0.04W0.1,-1.6454915823979377,2.967009,335.92999999999995,9.227264157334476,9.742111662011675,6.8039603,0.44262478
6,Hf0.27Zr0.13Ta0.13Ti0.03Cr0.21W0.23,-1.6549356489812566,2.237371,298.827,13.7060744520356,12.571496342935314,6.345081,0.43738112
7,Zr0.31Ta0.09Ti0.34V0.04Cr0.06Mo0.17,-1.5453694530397866,2.9918225,65.68316831683168,9.09571383801504,7.363081745102225,4.983553400000001,0.6576754
8,Hf0.11Zr0.13Nb0.18V0.13Cr0.23W0.22,-1.7530549472164274,1.9547198,179.209,13.286490889502796,10.477393044957976,6.8720007,0.31767097
9,Hf0.13Zr0.15Ta0.41Cr0.3,-1.2765437756454665,2.0944161,255.8636363636364,11.480310823497524,11.767894274386896,6.887759,0.14582792
10,Zr0.01Ti0.33Cr0.27Mo0.39,-1.132657694892422,1.7881967,22.409,14.796344682677086,7.487104418291942,6.118421,1.225467
11,Zr0.2Ta0.08Nb0.15V0.07W0.5,-1.34123566462963,2.2712297,89.82,16.32464986574021,13.708087170496096,5.596178500000001,0.20724148
12,Hf0.21Zr0.2Ti0.18Nb0.31V0.1W0.01,-1.5976642621041457,3.5097268,261.3019801980197,6.368348101475679,8.23684667004394,4.085895,0.60989296
13,Hf0.22Ta0.08Ti0.12Nb0.15Cr0.23Mo0.2,-1.734079070400481,2.1543353,247.386,12.405329392586276,9.74544367766434,5.9909124,0.87434536
14,Hf0.13Zr0.35Ti0.21Nb0.16V0.07Cr0.08,-1.6418220067482543,3.2923594,173.8400000000001,6.641572281956442,7.326862847599305,4.0896792,0.45619243
15,Zr0.22Ta0.25Ti0.25Nb0.12V0.05Cr0.11,-1.673273760211076,2.9445693,119.643,8.30971355766412,8.81412144582188,4.1618547,0.33489156
16,Hf0.66Ti0.01Mo0.2W0.14,-0.9174352772535972,3.0537033,601.0683168316831,12.214028105640615,13.2695840853615,6.2784834,1.1455598
17,Zr0.19Ta0.22V0.29Mo0.3,-1.368822435012914,2.535755,199.36900000000003,11.75412693127012,9.653092338308584,5.989859,0.55017906
18,Zr0.01Nb0.27Cr0.38Mo0.27W0.07,-1.3069218272158554,1.1758595,40.353,15.899442944157023,9.180053224267883,8.041250999999999,0.7690581
19,Hf0.29V0.5Cr0.1Mo0.12,-1.190247287163857,2.6978168,454.7049504950495,9.889216089174356,8.832716061138852,7.616853999999999,0.32941124
20,Zr0.27Ti0.36Nb0.25Mo0.06W0.07,-1.4228408813779987,3.256408,40.1049504950495,7.901636177237681,7.342293180351431,3.0759468,0.62057006
21,Hf0.03Zr0.02Ta0.31Ti0.24Nb0.18W0.22,-1.5307836648828077,2.8432782,150.444,12.102215150476685,12.364123539442671,4.0162396000000005,0.4389247999999999
